"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right","dynamic_env"
"s133","p138",399,483,22,47,FALSE
"s134","p138",536,548,25,53,TRUE
"s135","p138",419,136,48,4,TRUE
"s136","p138",290,408,7,57,FALSE
"s137","p138",156,589,2,50,FALSE
"s138","p138",179,306,6,36,TRUE
"s139","p138",428,110,35,16,FALSE
"s140","p138",388,108,33,14,TRUE
"s141","p138",232,68,7,28,FALSE
"s142","p138",314,399,6,71,TRUE
"s143","p138",743,94,58,6,TRUE
"s144","p138",254,143,4,34,FALSE
"s145","p138",199,443,5,67,TRUE
"s146","p138",769,326,50,27,FALSE
"s147","p138",838,152,43,18,TRUE
"s148","p138",354,382,10,67,TRUE
"s149","p138",496,292,60,21,TRUE
"s150","p138",97,280,3,48,FALSE
"s151","p138",90,288,3,55,TRUE
"s152","p138",274,80,57,5,TRUE
"s153","p138",189,149,4,47,FALSE
"s154","p138",83,215,1,34,FALSE
"s155","p138",2,529,0,46,TRUE
"s156","p138",584,144,68,8,FALSE
"s157","p138",429,135,41,9,FALSE
"s158","p138",296,51,53,4,FALSE
"s159","p138",689,36,62,8,FALSE
"s160","p138",496,4,57,1,TRUE
"s161","p138",335,141,10,24,TRUE
"s162","p138",342,49,38,10,FALSE
"s163","p138",367,27,62,7,TRUE
"s164","p138",491,156,24,31,FALSE
"s165","p138",498,291,14,28,FALSE
"s166","p138",528,447,16,52,FALSE
"s167","p138",298,347,18,51,TRUE
"s168","p138",430,6,59,0,FALSE
"s169","p138",421,10,61,2,TRUE
"s170","p138",514,293,25,53,FALSE
"s171","p138",352,373,28,58,TRUE
"s172","p138",228,125,38,19,FALSE
"s173","p138",414,189,35,24,TRUE
"s174","p138",141,222,7,31,TRUE
"s175","p138",268,55,47,4,TRUE
"s176","p138",389,501,19,64,FALSE
"s177","p138",303,409,15,48,TRUE
"s178","p138",717,90,75,8,TRUE
"s179","p138",392,376,14,44,FALSE
"s180","p138",507,193,13,39,TRUE
"s01","p510",597,308,55,16,FALSE
"s02","p510",902,208,65,16,FALSE
"s03","p510",756,295,44,13,FALSE
"s04","p510",1172,444,59,13,FALSE
"s05","p510",1890,471,63,18,FALSE
"s06","p510",2069,707,70,24,FALSE
"s07","p510",1889,563,60,17,FALSE
"s08","p510",1089,425,25,15,FALSE
"s09","p510",1312,492,44,13,FALSE
"s10","p510",1502,556,57,10,FALSE
"s11","p510",1008,326,32,8,FALSE
"s12","p510",2006,984,64,21,FALSE
"s13","p510",1445,479,45,13,FALSE
"s14","p510",784,410,24,10,FALSE
"s15","p510",2071,639,65,19,FALSE
"s16","p510",1118,435,45,10,TRUE
"s17","p510",632,436,11,33,FALSE
"s18","p510",495,685,12,20,FALSE
"s19","p510",389,819,10,29,FALSE
"s20","p510",383,871,13,30,FALSE
"s21","p510",502,753,8,29,FALSE
"s22","p510",487,759,15,32,FALSE
"s23","p510",485,910,12,32,FALSE
"s24","p510",366,790,7,23,FALSE
"s25","p510",524,1309,14,50,FALSE
"s26","p510",534,945,12,31,TRUE
"s27","p510",1515,997,60,13,FALSE
"s28","p510",1396,656,55,11,FALSE
"s29","p510",1054,735,47,16,FALSE
"s30","p510",1413,1242,57,23,FALSE
"s31","p510",739,660,34,17,FALSE
"s32","p510",1623,1099,65,19,FALSE
"s33","p510",1899,1227,68,20,FALSE
"s34","p510",1371,1009,42,14,FALSE
"s35","p510",1311,986,44,11,FALSE
"s36","p510",1368,913,34,14,TRUE
"s37","p510",1003,1593,17,38,FALSE
"s38","p510",645,1033,11,34,FALSE
"s39","p510",489,1057,7,29,FALSE
"s40","p510",486,1245,11,35,FALSE
"s41","p510",604,1390,13,31,FALSE
"s42","p510",549,1133,7,50,FALSE
"s43","p510",440,1085,7,24,FALSE
"s44","p510",625,1201,15,39,FALSE
"s45","p510",751,1019,16,33,FALSE
"s46","p510",648,837,13,40,FALSE
"s47","p510",908,1228,10,37,FALSE
"s48","p510",1096,1252,18,42,FALSE
"s49","p510",1087,1322,23,42,FALSE
"s50","p510",1003,1272,13,40,FALSE
"s51","p510",907,1105,15,33,FALSE
"s52","p510",834,1127,15,43,FALSE
"s53","p510",604,1104,9,31,TRUE
"s54","p510",893,822,27,15,FALSE
"s55","p510",1954,1158,55,22,FALSE
"s56","p510",1338,830,40,16,FALSE
"s57","p510",1654,1136,52,26,FALSE
"s58","p510",816,595,29,4,FALSE
"s59","p510",1126,930,44,12,FALSE
"s60","p510",1178,806,49,8,FALSE
"s61","p510",854,686,52,12,FALSE
"s62","p510",965,985,35,14,FALSE
"s63","p510",1317,1119,51,17,FALSE
"s64","p510",1350,1094,58,26,FALSE
"s65","p510",1034,880,55,15,FALSE
"s66","p510",816,494,37,12,FALSE
"s67","p510",1173,774,52,18,FALSE
"s68","p510",898,612,34,13,FALSE
"s69","p510",623,448,33,11,FALSE
"s70","p510",692,449,37,16,FALSE
"s71","p510",991,625,50,20,FALSE
"s72","p510",1329,836,56,15,FALSE
"s73","p510",1060,663,47,16,FALSE
"s74","p510",102,59,12,4,FALSE
"s75","p510",643,315,26,6,TRUE
"s76","p510",591,640,9,17,FALSE
"s77","p510",767,844,22,37,FALSE
"s78","p510",649,734,11,35,FALSE
"s79","p510",830,835,15,28,FALSE
"s80","p510",621,687,15,27,FALSE
"s81","p510",624,741,15,36,FALSE
"s82","p510",513,683,8,28,FALSE
"s83","p510",621,907,20,43,FALSE
"s84","p510",693,1002,15,34,FALSE
"s85","p510",666,958,21,32,FALSE
"s86","p510",334,978,8,47,FALSE
"s87","p510",415,1114,9,41,FALSE
"s88","p510",387,955,13,27,FALSE
"s89","p510",393,1022,9,37,FALSE
"s90","p510",494,926,12,30,FALSE
"s91","p510",517,980,11,42,FALSE
"s92","p510",359,893,9,29,FALSE
"s93","p510",662,1266,12,53,FALSE
"s94","p510",477,940,12,34,FALSE
"s95","p510",464,920,15,32,FALSE
"s96","p510",513,1256,6,37,FALSE
"s97","p510",592,1231,13,47,FALSE
"s98","p510",463,889,13,34,FALSE
"s99","p510",664,1115,13,31,FALSE
"s100","p510",340,920,4,32,FALSE
"s101","p510",507,1075,16,35,TRUE
"s102","p510",598,1014,25,17,FALSE
"s103","p510",502,913,18,20,FALSE
"s104","p510",527,1055,22,24,FALSE
"s105","p510",677,962,18,22,FALSE
"s106","p510",638,887,19,24,FALSE
"s107","p510",614,788,24,19,FALSE
"s108","p510",471,877,17,16,FALSE
"s109","p510",588,830,22,23,FALSE
"s110","p510",610,869,15,21,FALSE
"s111","p510",696,892,19,21,FALSE
"s112","p510",724,929,24,23,FALSE
"s113","p510",793,774,19,16,FALSE
"s114","p510",616,733,18,13,FALSE
"s115","p510",587,749,19,16,FALSE
"s116","p510",1378,1342,29,39,FALSE
"s117","p510",926,1186,22,34,TRUE
"s118","p510",1509,1133,61,2,FALSE
"s119","p510",1248,617,61,7,FALSE
"s120","p510",1639,660,69,1,TRUE
"s121","p510",1189,1670,10,80,TRUE
"s122","p510",971,869,54,9,FALSE
"s123","p510",1645,1121,57,14,TRUE
"s124","p510",817,1124,16,34,TRUE
"s125","p510",916,595,57,5,TRUE
"s126","p510",730,1776,3,69,TRUE
"s127","p510",994,793,49,11,FALSE
"s128","p510",1449,1121,61,25,TRUE
"s129","p510",1264,1567,33,72,FALSE
"s130","p510",646,983,13,44,FALSE
"s131","p510",579,1092,11,47,FALSE
"s132","p510",567,1336,13,44,FALSE
"s133","p510",700,1275,12,42,FALSE
"s134","p510",683,1124,19,40,FALSE
"s135","p510",1076,927,51,17,TRUE
