"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right","dynamic_env","bird_num"
"s58","p510",816,595,29,4,FALSE,4
"s59","p510",1126,930,44,12,FALSE,4
"s60","p510",1178,806,49,8,FALSE,4
"s61","p510",854,686,52,12,FALSE,4
"s62","p510",965,985,35,14,FALSE,4
"s63","p510",1317,1119,51,17,FALSE,4
"s64","p510",1350,1094,58,26,FALSE,4
"s65","p510",1034,880,55,15,FALSE,4
"s66","p510",816,494,37,12,FALSE,4
"s67","p510",1173,774,52,18,FALSE,4
"s68","p510",898,612,34,13,FALSE,4
"s69","p510",623,448,33,11,FALSE,4
"s70","p510",692,449,37,16,FALSE,4
"s71","p510",991,625,50,20,FALSE,4
"s72","p510",1329,836,56,15,FALSE,4
"s73","p510",1060,663,47,16,FALSE,4
"s74","p510",102,59,12,4,FALSE,4
"s76","p510",591,640,9,17,FALSE,4
"s77","p510",767,844,22,37,FALSE,4
"s78","p510",649,734,11,35,FALSE,4
"s79","p510",830,835,15,28,FALSE,4
"s80","p510",621,687,15,27,FALSE,4
"s81","p510",624,741,15,36,FALSE,4
"s82","p510",513,683,8,28,FALSE,4
"s83","p510",621,907,20,43,FALSE,4
"s84","p510",693,1002,15,34,FALSE,4
"s85","p510",666,958,21,32,FALSE,4
"s86","p510",334,978,8,47,FALSE,4
"s87","p510",415,1114,9,41,FALSE,4
"s88","p510",387,955,13,27,FALSE,4
"s89","p510",393,1022,9,37,FALSE,4
"s90","p510",494,926,12,30,FALSE,4
"s91","p510",517,980,11,42,FALSE,4
"s92","p510",359,893,9,29,FALSE,4
"s93","p510",662,1266,12,53,FALSE,4
"s94","p510",477,940,12,34,FALSE,4
"s95","p510",464,920,15,32,FALSE,4
"s96","p510",513,1256,6,37,FALSE,4
"s97","p510",592,1231,13,47,FALSE,4
"s98","p510",463,889,13,34,FALSE,4
"s99","p510",664,1115,13,31,FALSE,4
"s100","p510",340,920,4,32,FALSE,4
"s102","p510",598,1014,25,17,FALSE,4
"s103","p510",502,913,18,20,FALSE,4
"s104","p510",527,1055,22,24,FALSE,4
"s105","p510",677,962,18,22,FALSE,4
"s106","p510",638,887,19,24,FALSE,4
"s107","p510",614,788,24,19,FALSE,4
"s108","p510",471,877,17,16,FALSE,4
"s109","p510",588,830,22,23,FALSE,4
"s110","p510",610,869,15,21,FALSE,4
"s111","p510",696,892,19,21,FALSE,4
"s112","p510",724,929,24,23,FALSE,4
"s113","p510",793,774,19,16,FALSE,4
"s114","p510",616,733,18,13,FALSE,4
"s115","p510",587,749,19,16,FALSE,4
"s116","p510",1378,1342,29,39,FALSE,4
"s118","p510",1509,1133,61,2,FALSE,4
"s119","p510",1248,617,61,7,FALSE,4
"s122","p510",971,869,54,9,FALSE,4
"s127","p510",994,793,49,11,FALSE,4
"s129","p510",1264,1567,33,72,FALSE,4
"s130","p510",646,983,13,44,FALSE,4
"s131","p510",579,1092,11,47,FALSE,4
"s132","p510",567,1336,13,44,FALSE,4
"s133","p510",700,1275,12,42,FALSE,4
"s134","p510",683,1124,19,40,FALSE,4
"s138","p510",524,882,6,48,FALSE,4
"s139","p510",630,1279,5,53,FALSE,4
"s141","p510",1934,1168,70,4,FALSE,4
"s142","p510",1469,656,77,6,FALSE,4
"s143","p510",1241,610,61,8,FALSE,4
"s145","p510",999,1280,24,59,FALSE,4
"s147","p510",1446,847,79,11,FALSE,4
"s148","p510",1225,286,75,5,FALSE,4
"s151","p510",1307,695,78,9,FALSE,4
"s153","p510",798,1256,17,46,FALSE,4
"s154","p510",724,1241,17,52,FALSE,4
"s157","p510",950,1402,14,58,FALSE,4
"s161","p510",686,298,38,20,FALSE,4
"s162","p510",1561,1412,44,35,FALSE,4
"s164","p510",1116,1988,18,68,FALSE,4
"s165","p510",925,1857,16,58,FALSE,4
"s167","p510",1199,1178,31,21,FALSE,4
"s168","p510",1649,1308,62,32,FALSE,4
"s170","p510",679,1365,6,50,FALSE,4
"s171","p510",284,1239,6,54,FALSE,4
"s172","p510",770,1940,14,84,FALSE,4
"s173","p510",455,1729,8,88,FALSE,4
"s174","p510",796,1728,11,67,FALSE,4
"s175","p510",484,1478,4,70,FALSE,4
"s176","p510",416,1714,5,61,FALSE,4
"s178","p510",1205,720,68,4,FALSE,4
"s01","p530",92,2,5,1,FALSE,5
"s02","p530",599,140,41,8,FALSE,5
"s03","p530",372,115,23,9,FALSE,5
"s04","p530",753,55,50,10,FALSE,5
"s05","p530",851,36,34,11,FALSE,5
"s06","p530",770,129,21,13,FALSE,5
"s07","p530",747,71,46,10,FALSE,5
"s08","p530",1165,35,50,11,FALSE,5
"s09","p530",1223,8,46,4,FALSE,5
"s11","p530",1304,2,45,2,FALSE,5
"s12","p530",2214,5,56,3,FALSE,5
"s13","p530",1448,1,30,1,FALSE,5
"s14","p530",1407,44,40,8,FALSE,5
"s15","p530",1514,34,50,6,FALSE,5
"s17","p530",620,419,9,35,FALSE,5
"s18","p530",455,333,6,26,FALSE,5
"s19","p530",467,613,8,40,FALSE,5
"s20","p530",397,631,9,30,FALSE,5
"s21","p530",396,865,11,45,FALSE,5
"s22","p530",204,705,9,34,FALSE,5
"s23","p530",262,990,13,40,FALSE,5
"s24","p530",156,933,15,42,FALSE,5
"s25","p530",168,662,8,31,FALSE,5
"s27","p530",405,869,43,25,FALSE,5
"s28","p530",753,789,48,12,FALSE,5
"s29","p530",327,367,29,14,FALSE,5
"s30","p530",762,486,48,25,FALSE,5
"s31","p530",351,190,38,14,FALSE,5
"s32","p530",929,452,51,21,FALSE,5
"s33","p530",589,379,34,14,FALSE,5
"s34","p530",505,358,33,15,FALSE,5
"s35","p530",802,576,46,23,FALSE,5
"s37","p530",384,455,16,30,FALSE,5
"s38","p530",275,564,8,37,FALSE,5
"s39","p530",227,387,5,29,FALSE,5
"s40","p530",121,301,11,41,FALSE,5
"s41","p530",251,296,14,34,FALSE,5
"s42","p530",264,451,16,37,FALSE,5
"s43","p530",240,556,14,39,FALSE,5
"s44","p530",183,468,12,41,FALSE,5
