"player","avg_elo","n_wins_QGD","n_wins_QGA","n_losses_QGD","n_losses_QGA","n_ties_QGD","n_ties_QGA","n_QGD","n_QGA","elo_group","total_QG","experience_group"
"mahmoodreza1981",1432,1,8,1,14,0,1,2,23,1,25,4
"miehscha",1713,1,3,7,13,1,0,9,16,3,25,4
"mitra",1497,11,2,9,1,2,0,22,3,2,25,4
"nunutsu",1390,8,2,10,5,0,0,18,7,1,25,4
"Petrochiant",2117,3,10,1,10,0,1,4,21,4,25,4
"semstart",1662,2,7,1,14,1,0,4,21,3,25,4
"Andromeda83",1825,12,1,10,0,1,0,23,1,4,24,4
"ANDRUHAKING",1584,7,3,8,5,1,0,16,8,2,24,4
"bearrr123",1684,4,7,7,5,1,0,12,12,3,24,4
"david141360",1985,4,15,0,3,0,2,4,20,4,24,4
"FujiXx",1950,11,1,11,0,1,0,23,1,4,24,4
"Golyabacsi",1620,8,2,12,1,1,0,21,3,3,24,4
"joko010",1553,1,6,5,11,0,1,6,18,2,24,4
"jrjs",1799,1,5,4,13,0,1,5,19,4,24,4
"lolo83",1605,1,5,14,2,0,2,15,9,3,24,4
"LuckyPunch",1781,3,8,2,11,0,0,5,19,4,24,4
"opice",1784,14,2,7,0,1,0,22,2,4,24,4
"Sentenza945",1395,7,5,10,1,0,1,17,7,1,24,4
"tudE",1723,7,6,7,1,3,0,17,7,4,24,4
"Vassil",2186,18,2,4,0,0,0,22,2,4,24,4
"VIKTOR1962",1476,10,1,12,0,1,0,23,1,2,24,4
"Wilfried",1355,2,8,4,9,1,0,7,17,1,24,4
"YAYALOULOU",1407,2,5,1,15,0,1,3,21,1,24,4
"Artem84",1696,9,1,9,1,2,1,20,3,3,23,4
"Bang_Sharp",1601,9,1,9,3,1,0,19,4,3,23,4
"chocho25ar",1882,5,5,4,6,2,1,11,12,4,23,4
"Edvard",1569,8,3,3,8,0,1,11,12,2,23,4
"gyytryrtyrh",1583,13,2,7,1,0,0,20,3,2,23,4
"IsraelAlcaraz",1514,1,9,2,9,0,2,3,20,2,23,4
"Kralj92",1893,5,5,7,6,0,0,12,11,4,23,4
"mrtmrt",1560,1,7,2,13,0,0,3,20,2,23,4
"Specto",1961,12,1,9,0,1,0,22,1,4,23,4
"Stefanc",1439,1,8,2,12,0,0,3,20,1,23,4
"SupremeGentleman",1694,12,1,10,0,0,0,22,1,3,23,4
"tobiasen",1267,5,2,14,1,1,0,20,3,1,23,4
"warley",1608,5,1,15,2,0,0,20,3,3,23,4
"bah4141",1500,2,6,5,8,1,0,8,14,2,22,4
"decoide100",1690,1,4,4,13,0,0,5,17,3,22,4
"Dzeusas",1703,6,1,15,0,0,0,21,1,3,22,4
"EKA7777",1666,7,1,11,1,2,0,20,2,3,22,4
"jr2412",1787,6,2,10,1,3,0,19,3,4,22,4
"Magof",1821,4,1,12,4,1,0,17,5,4,22,4
"Maverick59",1746,6,4,10,0,2,0,18,4,4,22,4
"Merovigian",1991,13,2,5,2,0,0,18,4,4,22,4
"nurluch",1620,11,2,5,3,1,0,17,5,3,22,4
"pjesak87",2008,12,1,8,0,1,0,21,1,4,22,4
"pline",1389,2,4,0,14,0,2,2,20,1,22,4
"pogo123",1701,2,3,3,12,0,2,5,17,3,22,4
"qulko",1837,11,1,9,0,1,0,21,1,4,22,4
"sallesasa",1794,7,1,8,2,3,1,18,4,4,22,4
"schachfl",1776,1,8,0,10,2,1,3,19,4,22,4
"shahrokh_farzin",1585,9,1,12,0,0,0,21,1,3,22,4
"sirboghel",1488,2,3,9,8,0,0,11,11,2,22,4
"Skoda",1409,4,3,4,11,0,0,8,14,1,22,4
"slipenko",1928,15,1,6,0,0,0,21,1,4,22,4
"truegod27",1779,8,1,12,1,0,0,20,2,4,22,4
"vaszav",1590,6,3,10,3,0,0,16,6,3,22,4
"Y0X",1206,1,6,2,13,0,0,3,19,1,22,4
"Zeleboba",1567,9,3,3,6,1,0,13,9,2,22,4
"abogowda",1647,7,3,7,3,1,0,15,6,3,21,4
"alex-57",1671,11,1,7,0,2,0,20,1,3,21,4
"amarant",1404,4,7,1,9,0,0,5,16,1,21,4
"archibalde",2184,3,4,10,3,1,0,14,7,4,21,4
"Basmaester",1757,6,1,12,2,0,0,18,3,4,21,4
"Bigvancho",1656,4,3,5,9,0,0,9,12,3,21,4
"elementx79",1292,2,4,5,10,0,0,7,14,1,21,4
"Gyorgy41",1487,4,5,4,8,0,0,8,13,2,21,4
"HassanKazemi",1618,4,4,5,7,1,0,10,11,3,21,4
